time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.16,1440560.655000,6143818.424000,939016.853500,277.440696,-69.784089,-33.842957,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.844941,0.000000,0.000000,10.161238,1,0,0,0,0,0,0,0,0,317,0,0,0
3.17,1440563.429000,6143817.726000,939016.515000,277.414573,-69.811379,-33.845605,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.812619,0.000000,0.000000,10.156094,1,0,0,0,0,0,0,0,0,318,0,0,0
3.18,1440566.203000,6143817.027000,939016.176600,277.388573,-69.838706,-33.848269,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.780208,0.000000,0.000000,10.150935,1,0,0,0,0,0,0,0,0,319,0,0,0
3.19,1440568.976000,6143816.328000,939015.838000,277.362696,-69.866071,-33.850949,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.747709,0.000000,0.000000,10.145763,1,0,0,0,0,0,0,0,0,320,0,0,0
3.20,1440571.750000,6143815.630000,939015.499500,277.336942,-69.893473,-33.853646,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.715121,0.000000,0.000000,10.140576,1,0,0,0,0,0,0,0,0,321,0,0,0
3.21,1440574.523000,6143814.930000,939015.160900,277.311311,-69.920912,-33.856358,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.682445,0.000000,0.000000,10.135376,1,0,0,0,0,0,0,0,0,322,0,0,0
3.22,1440577.296000,6143814.231000,939014.822400,277.285804,-69.948387,-33.859086,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.649681,0.000000,0.000000,10.130161,1,0,0,0,0,0,0,0,0,323,0,0,0
3.23,1440580.068000,6143813.531000,939014.483700,277.260421,-69.975898,-33.861830,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.616829,0.000000,0.000000,10.124933,1,0,0,0,0,0,0,0,0,324,0,0,0
3.24,1440582.841000,6143812.831000,939014.145100,277.235161,-70.003446,-33.864591,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.583890,0.000000,0.000000,10.119690,1,0,0,0,0,0,0,0,0,325,0,0,0
3.25,1440585.613000,6143812.131000,939013.806400,277.210025,-70.031030,-33.867367,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.550862,0.000000,0.000000,10.114434,1,0,0,0,0,0,0,0,0,326,0,0,0
