time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
8.91,1442152.684,6143369.497,938814.2989,282.774761,-85.282431,-36.93295,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.158686,-68.723595,0,35.815539,0,0,5.70022,1,1,0,0,0,1,0,0,0,892,747,0,0
8.92,1442155.512,6143368.644,938813.9295,282.813818,-85.299572,-36.938975,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.141753,-68.677922,0,35.760917,0,0,5.691527,1,1,0,0,0,1,0,0,0,893,747,0,0
8.93,1442158.34,6143367.791,938813.5601,282.852939,-85.316655,-36.944996,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.124831,-68.632279,0,35.706313,0,0,5.682836,1,1,0,0,0,1,0,0,0,894,747,0,0
8.94,1442161.169,6143366.938,938813.1905,282.892123,-85.333681,-36.951011,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.107921,-68.586666,0,35.65173,0,0,5.674149,1,1,0,0,0,1,0,0,0,895,747,0,0
8.95,1442163.998,6143366.084,938812.821,282.931369,-85.350649,-36.957021,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.091022,-68.541085,0,35.597166,0,0,5.665465,1,1,0,0,0,1,0,0,0,896,747,0,0
8.96,1442166.828,6143365.231,938812.4513,282.970678,-85.367559,-36.963026,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.074135,-68.495537,0,35.542623,0,0,5.656784,1,1,0,0,0,1,0,0,0,897,747,0,0
8.97,1442169.658,6143364.377,938812.0817,283.01005,-85.384412,-36.969026,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.057259,-68.450019,0,35.4881,0,0,5.648107,1,1,0,0,0,1,0,0,0,898,747,0,0
8.98,1442172.489,6143363.523,938811.7119,283.049483,-85.401206,-36.975021,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.040395,-68.40453,0,35.433597,0,0,5.639432,1,1,0,0,0,1,0,0,0,899,747,0,0
8.99,1442175.32,6143362.669,938811.3421,283.088978,-85.417943,-36.981011,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.023542,-68.359074,0,35.379116,0,0,5.630761,1,1,0,0,0,1,0,0,0,900,747,0,0
9,1442178.151,6143361.814,938810.9722,283.128534,-85.434621,-36.986995,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.006701,-68.313647,0,35.324656,0,0,5.622094,1,1,0,0,0,1,0,0,0,901,747,0,0
9.01,1442180.983,6143360.96,938810.6023,283.168151,-85.451241,-36.992975,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.98987,-68.26825,0,35.270216,0,0,5.613429,1,1,0,0,0,1,0,0,0,902,747,0,0
9.02,1442183.815,6143360.105,938810.2323,283.207829,-85.467803,-36.998949,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.973053,-68.222886,0,35.215799,0,0,5.604768,1,1,0,0,0,1,0,0,0,903,747,0,0
9.03,1442186.647,6143359.25,938809.8623,283.247567,-85.484307,-37.004918,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.956248,-68.177551,0,35.161403,0,0,5.596111,1,1,0,0,0,1,0,0,0,904,747,0,0
9.04,1442189.48,6143358.395,938809.4921,283.287365,-85.500753,-37.010881,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-45.93945,-68.13225,0,35.107029,0,0,5.587457,1,1,0,0,0,1,0,0,0,905,747,0,0
