time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.67,1440701.831000,6143782.464000,938999.555000,276.267531,-71.219314,-33.998000,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.940422,143.791932,-28.043046,62.086268,0.000000,0.000000,9.881336,0,0,1,0,0,0,0,0,0,0,0,368,0,0,0
3.68,1440704.593000,6143781.752000,938999.215000,276.247818,-71.248250,-34.001436,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.940275,133.269763,60.839073,62.049595,0.000000,0.000000,9.875500,0,0,1,0,0,0,0,0,0,0,0,369,0,0,0
3.69,1440707.355000,6143781.039000,938998.874900,276.228234,-71.277213,-34.004886,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.940129,73.052270,126.985349,62.012841,0.000000,0.000000,9.869650,0,0,1,0,0,0,0,0,0,0,0,370,0,0,0
3.70,1440710.117000,6143780.326000,938998.534800,276.208778,-71.306203,-34.008351,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939983,-14.345882,145.793688,61.976005,0.000000,0.000000,9.863788,0,0,1,0,0,0,0,0,0,0,0,371,0,0,0
3.71,1440712.879000,6143779.613000,938998.194700,276.189451,-71.335218,-34.011831,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939838,-96.359878,110.345225,61.939087,0.000000,0.000000,9.857912,0,0,1,0,0,0,0,0,0,0,0,372,0,0,0
3.72,1440715.641000,6143778.899000,938997.854600,276.170252,-71.364261,-34.015325,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939692,-142.518027,33.905719,61.902088,0.000000,0.000000,9.852023,0,0,1,0,0,0,0,0,0,0,0,373,0,0,0
3.73,1440718.403000,6143778.185000,938997.514400,276.151182,-71.393329,-34.018834,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939547,-135.745793,-55.079549,61.865008,0.000000,0.000000,9.846122,0,0,1,0,0,0,0,0,0,0,0,374,0,0,0
3.74,1440721.164000,6143777.471000,938997.174100,276.132240,-71.422423,-34.022358,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939402,-78.643790,-123.594186,61.827846,0.000000,0.000000,9.840207,0,0,1,0,0,0,0,0,0,0,0,375,0,0,0
3.75,1440723.925000,6143776.756000,938996.833900,276.113427,-71.451543,-34.025896,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939258,7.554159,-146.297624,61.790604,0.000000,0.000000,9.834280,0,0,1,0,0,0,0,0,0,0,0,376,0,0,0
3.76,1440726.686000,6143776.041000,938996.493600,276.094743,-71.480688,-34.029449,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.939113,90.911229,-114.869058,61.753281,0.000000,0.000000,9.828340,0,0,1,0,0,0,0,0,0,0,0,377,0,0,0
