time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
34.96,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3497,747,1604,1707
34.97,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3498,747,1604,1707
34.98,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3499,747,1604,1707
34.99,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3500,747,1604,1707
35,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3501,747,1604,1707
35.01,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3502,747,1604,1707
35.02,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3503,747,1604,1707
35.03,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3504,747,1604,1707
35.04,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3505,747,1604,1707
35.05,-1195130.043,-6193684.36,952731.7594,-423.210186,234.793091,187.752974,0,0,0,-0.349758,-0.349758,-0.349758,-0.349758,0.33605,0.436489,6.2831,0.00075,-0.006202,0.016315,0.000119,1,1,1,1,1,1,1,1,3506,747,1604,1707
