missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
2.12,1440270.494,6143889.617,939051.9397,280.8020177,-67.18784763,-33.65994122,-67.11522196,-114.9934847,0,66.700613,0,0,380.966293,143.102535,32.161276,-0.671151596,-1.14993442,0,0.667006,0,0
2.13,1440273.301,6143888.945,939051.6031,280.7638938,-67.21019266,-33.66079333,-67.05595031,-114.8826185,0,66.678115,0,0,380.966105,92.535563,113.795935,-0.670561045,-1.148825496,0,0.666781,0,0
2.14,1440276.108,6143888.273,939051.2665,280.7258768,-67.23259469,-33.66166369,-66.99676067,-114.7719131,0,66.655518,0,0,380.965917,2.337765,146.65109,-0.669967213,-1.147719853,0,0.666555,0,0
2.15,1440278.915,6143887.6,939050.9299,280.687967,-67.25505355,-33.66255225,-66.93765962,-114.6613652,0,66.632821,0,0,380.96573,-88.83366,116.705829,-0.669376662,-1.14661421,0,0.666328,0,0
2.16,1440281.722,6143886.928,939050.5932,280.6501644,-67.27756907,-33.66345903,-66.87864059,-114.5509715,0,66.610025,0,0,380.965543,-141.967025,36.833356,-0.668786111,-1.145508567,0,0.6661,0,0
2.17,1440284.528,6143886.255,939050.2566,280.6124694,-67.30014108,-33.66438398,-66.81971014,-114.4407353,0,66.58713,0,0,380.965357,-134.378974,-58.764669,-0.668195559,-1.144406205,0,0.665871,0,0
2.18,1440287.334,6143885.581,939049.9199,280.574882,-67.3227694,-33.66532711,-66.760865,-114.3306565,0,66.564135,0,0,380.96517,-69.370705,-129.222147,-0.667608289,-1.143307123,0,0.665641,0,0
2.19,1440290.139,6143884.908,939049.5833,280.5374024,-67.34545384,-33.66628838,-66.70210515,-114.220732,0,66.541041,0,0,380.964984,25.241179,-144.475617,-0.667021019,-1.142208042,0,0.66541,0,0
2.2,1440292.944,6143884.234,939049.2466,280.5000308,-67.36819425,-33.6672678,-66.64343061,-114.1109649,0,66.517848,0,0,380.964798,109.052096,-98.069489,-0.666433748,-1.14110896,0,0.665178,0,0
2.21,1440295.749,6143883.56,939048.9099,280.4627674,-67.39099043,-33.66826532,-66.58484137,-114.0013521,0,66.494556,0,0,380.964613,146.330214,-9.854763,-0.665849759,-1.14001316,0,0.664946,0,0
2.22,1440298.553,6143882.886,939048.5732,280.4256125,-67.41384223,-33.66928096,-66.52633415,-113.8918967,0,66.471165,0,0,380.964427,121.234232,82.532253,-0.665262488,-1.138917359,0,0.664712,0,0
2.23,1440301.357,6143882.212,939048.2365,280.388566,-67.43674946,-33.67031469,-66.46791551,-113.7825922,0,66.447675,0,0,380.964242,44.513941,139.740776,-0.664678499,-1.13782484,0,0.664477,0,0
2.24,1440304.16,6143881.537,939047.8998,280.3516284,-67.45971196,-33.6713665,-66.4095789,-113.6734452,0,66.424087,0,0,380.964058,-51.127217,137.457802,-0.664094509,-1.136735601,0,0.664241,0,0
2.25,1440306.963,6143880.862,939047.5631,280.3147996,-67.48272955,-33.67243636,-66.35132758,-113.5644525,0,66.4004,0,0,380.963873,-124.99327,76.713665,-0.663513801,-1.135643081,0,0.664004,0,0
2.26,1440309.766,6143880.187,939047.2263,280.27808,-67.50580204,-33.67352426,-66.29316157,-113.4556139,0,66.376614,0,0,380.963689,-145.711658,-16.615694,-0.662933092,-1.134557123,0,0.663766,0,0
2.27,1440312.569,6143879.512,939046.8896,280.2414695,-67.52892925,-33.67463018,-66.23508086,-113.3469295,0,66.35273,0,0,380.963505,-104.536277,-102.858154,-0.662352383,-1.133467884,0,0.663527,0,0
2.28,1440315.371,6143878.837,939046.5528,280.2049686,-67.55211102,-33.67575411,-66.17708217,-113.2383993,0,66.328747,0,0,380.963321,-19.00584,-145.416905,-0.661771675,-1.132385207,0,0.663287,0,0
2.29,1440318.172,6143878.161,939046.2161,280.1685772,-67.57534715,-33.67689602,-66.11916878,-113.1300233,0,66.304667,0,0,380.963138,74.558056,-126.285627,-0.661190966,-1.131299249,0,0.663047,0,0
2.3,1440320.974,6143877.485,939045.8793,280.1322955,-67.59863747,-33.6780559,-66.06133742,-113.0217982,0,66.280488,0,0,380.962955,136.491106,-53.63587,-0.660613538,-1.130216572,0,0.662805,0,0
2.31,1440323.775,6143876.809,939045.5425,280.0961238,-67.62198179,-33.67923373,-66.00359135,-112.9137274,0,66.256211,0,0,380.962772,140.59445,41.707248,-0.66003611,-1.129137175,0,0.662562,0,0
2.32,1440326.575,6143876.132,939045.2057,280.0600623,-67.64537997,-33.68042951,-65.94593059,-112.8058107,0,66.231836,0,0,380.96259,85.190909,119.366949,-0.659458683,-1.128057779,0,0.662318,0,0
