missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0.78,1439028.12,6151296.947,941040.5983,109.397459,-2.678198853,719.551011,-76.18932002,-131.7254078,0,68.784088,0,0,380.994071,-138.78023,-47.957259,-0.761893069,-1.317253979,0,0.687841,0,0
0.79,1439029.213,6151296.621,941040.5713,109.3740391,-2.699138744,719.551011,-76.09625572,-131.5667496,0,68.775565,0,0,380.993844,-76.776902,-125.159066,-0.76096131,-1.315666053,0,0.687756,0,0
0.8,1439030.307,6151296.294,941040.5441,109.3506377,-2.72008065,711.203498,-76.00338826,-131.4084163,0,68.766934,0,0,380.993617,20.127946,-145.444093,-0.760032833,-1.314084688,0,0.687669,0,0
0.81,1439031.4,6151295.967,941040.5167,109.3272548,-2.741024575,711.203498,-75.91072421,-131.250411,0,68.758196,0,0,380.993391,107.87137,-99.611847,-0.759107636,-1.312503323,0,0.687582,0,0
0.82,1439032.493,6151295.638,941040.4891,109.3038906,-2.761970527,711.203498,-75.81825702,-131.0927339,0,68.74935,0,0,380.993165,146.580601,-8.515519,-0.758182439,-1.31092852,0,0.687493,0,0
0.83,1439033.586,6151295.309,941040.4613,109.2805453,-2.782918507,711.203498,-75.72598668,-130.9353782,0,68.740396,0,0,380.992939,118.68619,86.438473,-0.757260523,-1.309353716,0,0.687404,0,0
0.84,1439034.679,6151294.978,941040.4332,109.257219,-2.803868523,711.203498,-75.63391318,-130.7783474,0,68.731335,0,0,380.992713,36.883728,142.117017,-0.756338607,-1.307782194,0,0.687313,0,0
0.85,1439035.771,6151294.647,941040.405,109.2339119,-2.824820578,711.203498,-75.54203654,-130.621638,0,68.722166,0,0,380.992488,-61.658018,133.250065,-0.755419972,-1.306217233,0,0.687222,0,0
0.86,1439036.863,6151294.315,941040.3765,109.2106241,-2.845774677,711.203498,-75.45035675,-130.4652502,0,68.712889,0,0,380.992263,-132.193999,63.887971,-0.754504617,-1.304652273,0,0.687129,0,0
0.87,1439037.955,6151293.982,941040.3479,109.1873557,-2.866730824,711.203498,-75.3588738,-130.309184,0,68.703506,0,0,380.992038,-142.719499,-34.463115,-0.753589263,-1.303090593,0,0.687035,0,0
0.88,1439039.046,6151293.649,941040.319,109.1641069,-2.887689025,711.203498,-75.26758443,-130.1534359,0,68.694014,0,0,380.991814,-88.481835,-117.162973,-0.752677189,-1.301535475,0,0.68694,0,0
0.89,1439040.138,6151293.314,941040.2899,109.1408779,-2.908649284,711.203498,-75.17648863,-129.9980094,0,68.684416,0,0,380.99159,5.888394,-146.70092,-0.751765116,-1.299980357,0,0.686844,0,0
0.9,1439041.229,6151292.978,941040.2606,109.1176688,-2.929611606,707.108907,-75.08558967,-129.8429011,0,68.67471,0,0,380.991366,97.575431,-109.701889,-0.750856323,-1.298428519,0,0.686747,0,0
0.91,1439042.32,6151292.642,941040.2311,109.0944798,-2.950575996,707.108907,-74.99488101,-129.6881078,0,68.664897,0,0,380.991143,145.00882,-22.968409,-0.749947531,-1.296879963,0,0.686649,0,0
0.92,1439043.411,6151292.305,941040.2014,109.0713109,-2.971542457,707.108907,-74.90436919,-129.5336328,0,68.654976,0,0,380.99092,126.705904,74.164384,-0.7490453,-1.295334687,0,0.68655,0,0
0.93,1439044.501,6151291.966,941040.1714,109.0481624,-2.992510996,707.108907,-74.82036657,-129.3866446,0,68.644948,0,0,380.990697,50.987949,137.675735,-0.748202124,-1.293864871,0,0.686449,0,0
0.94,1439045.591,6151291.627,941040.1413,109.0250344,-3.013481616,707.108907,-74.74991709,-129.255119,0,68.634814,0,0,380.990474,-47.818509,138.807082,-0.747500024,-1.292552535,0,0.686348,0,0
0.95,1439046.681,6151291.288,941040.111,109.001927,-3.034454322,707.108907,-74.67956932,-129.1237869,0,68.624571,0,0,380.990252,-124.954013,77.072354,-0.746794643,-1.291236918,0,0.686246,0,0
0.96,1439047.771,6151290.947,941040.0804,108.9788404,-3.055429118,707.108907,-74.60932325,-128.9926452,0,68.614222,0,0,380.99003,-145.502905,-19.549817,-0.746092544,-1.289927863,0,0.686142,0,0
0.97,1439048.861,6151290.605,941040.0496,108.9557747,-3.07640601,707.108907,-74.53917889,-128.8616905,0,68.603766,0,0,380.989809,-100.188248,-107.309101,-0.745390444,-1.288615527,0,0.686038,0,0
0.98,1439049.95,6151290.263,941040.0187,108.9327302,-3.097385001,707.108907,-74.46913952,-128.7309293,0,68.593203,0,0,380.989587,-9.544048,-146.497363,-0.744691625,-1.287309752,0,0.685932,0,0
0.99,1439051.039,6151289.919,941039.9875,108.9097068,-3.118366097,707.108907,-74.39919858,-128.6003552,0,68.582532,0,0,380.989366,85.404428,-119.408073,-0.743992806,-1.286003978,0,0.685825,0,0
1,1439052.128,6151289.575,941039.9561,108.8867049,-3.139349301,703.062662,-74.32935933,-128.4699713,0,68.571755,0,0,380.989146,141.715562,-38.321561,-0.743293987,-1.284698204,0,0.685718,0,0
1.01,1439053.217,6151289.23,941039.9245,108.8637244,-3.160334618,703.062662,-74.2596218,-128.3397744,0,68.560871,0,0,380.988925,133.948059,60.07827,-0.742595168,-1.283398991,0,0.685609,0,0
1.02,1439054.305,6151288.884,941039.8927,108.8407657,-3.181322054,703.062662,-74.18998269,-128.2097679,0,68.54988,0,0,380.988705,65.641581,131.309949,-0.74189963,-1.282096498,0,0.685499,0,0
